feature,importance,model_name
num__planned_budget,0.18849526800700206,cost_overrun_pct__random_forest
num__log_planned_budget,0.18079246158612697,cost_overrun_pct__random_forest
num__planning_maturity_score,0.14919427273174563,cost_overrun_pct__random_forest
num__stakeholder_x_governance,0.1052400978360152,cost_overrun_pct__random_forest
cat__contract_type_cost_reimbursable,0.09496702461054343,cost_overrun_pct__random_forest
num__complexity_x_uncertainty,0.07138357515331466,cost_overrun_pct__random_forest
num__scope_x_technical_uncertainty,0.019177876277275588,cost_overrun_pct__random_forest
cat__project_scale_tier_small,0.01837540623586522,cost_overrun_pct__random_forest
num__composite_risk_index,0.01691658813044822,cost_overrun_pct__random_forest
num__scope_variability_index,0.015984102082611043,cost_overrun_pct__random_forest
num__planned_duration,0.01543022234210654,cost_overrun_pct__random_forest
cat__project_scale_tier_large,0.014589656817461931,cost_overrun_pct__random_forest
num__log_planned_duration,0.014161693647830577,cost_overrun_pct__random_forest
num__team_experience_score,0.012387705911961294,cost_overrun_pct__random_forest
num__regulatory_complexity_score,0.011605240624094139,cost_overrun_pct__random_forest
num__supplier_dependency_index,0.011332850908477703,cost_overrun_pct__random_forest
num__financial_uncertainty,0.009239490242700127,cost_overrun_pct__random_forest
num__scale_x_planning_maturity,0.009157055111684156,cost_overrun_pct__random_forest
num__technical_uncertainty,0.007133872885063402,cost_overrun_pct__random_forest
num__contingency_buffer_ratio,0.006929648085334374,cost_overrun_pct__random_forest
num__stakeholder_multiplicity_index,0.0068539275595105465,cost_overrun_pct__random_forest
num__environmental_uncertainty,0.006129866930042618,cost_overrun_pct__random_forest
cat__project_complexity_tier_high,0.004193014373681253,cost_overrun_pct__random_forest
cat__project_scale_tier_medium,0.004079317133966766,cost_overrun_pct__random_forest
cat__contract_type_hybrid_other,0.002129120756099183,cost_overrun_pct__random_forest
cat__contract_type_target_cost,0.0017746983431854559,cost_overrun_pct__random_forest
cat__project_complexity_tier_low,0.0009294940800590848,cost_overrun_pct__random_forest
cat__project_complexity_tier_moderate,0.0007834504613301698,cost_overrun_pct__random_forest
cat__contract_type_fixed_price,0.0006330011344626331,cost_overrun_pct__random_forest
cat__project_scale_tier_small,0.22451074421405792,cost_overrun_pct__xgboost
cat__project_scale_tier_large,0.20945821702480316,cost_overrun_pct__xgboost
cat__project_complexity_tier_high,0.1443101465702057,cost_overrun_pct__xgboost
cat__contract_type_cost_reimbursable,0.08739109337329865,cost_overrun_pct__xgboost
num__log_planned_budget,0.0627186968922615,cost_overrun_pct__xgboost
num__planned_budget,0.05014356970787048,cost_overrun_pct__xgboost
num__planning_maturity_score,0.0430208258330822,cost_overrun_pct__xgboost
num__stakeholder_x_governance,0.040679313242435455,cost_overrun_pct__xgboost
num__complexity_x_uncertainty,0.02878616191446781,cost_overrun_pct__xgboost
num__planned_duration,0.018259601667523384,cost_overrun_pct__xgboost
num__scope_x_technical_uncertainty,0.010417146608233452,cost_overrun_pct__xgboost
cat__contract_type_fixed_price,0.009881509467959404,cost_overrun_pct__xgboost
num__composite_risk_index,0.00978279672563076,cost_overrun_pct__xgboost
cat__contract_type_target_cost,0.009767106734216213,cost_overrun_pct__xgboost
num__scale_x_planning_maturity,0.009207317605614662,cost_overrun_pct__xgboost
cat__contract_type_hybrid_other,0.00584369245916605,cost_overrun_pct__xgboost
cat__project_complexity_tier_low,0.005440250039100647,cost_overrun_pct__xgboost
num__team_experience_score,0.0047005279920995235,cost_overrun_pct__xgboost
num__log_planned_duration,0.004613396245986223,cost_overrun_pct__xgboost
num__scope_variability_index,0.004237070679664612,cost_overrun_pct__xgboost
num__regulatory_complexity_score,0.0038550354074686766,cost_overrun_pct__xgboost
num__supplier_dependency_index,0.003708516713231802,cost_overrun_pct__xgboost
num__financial_uncertainty,0.0025728000327944756,cost_overrun_pct__xgboost
cat__project_complexity_tier_moderate,0.001454281504265964,cost_overrun_pct__xgboost
num__technical_uncertainty,0.001327927689999342,cost_overrun_pct__xgboost
num__stakeholder_multiplicity_index,0.0012743666302412748,cost_overrun_pct__xgboost
